channelId,name,englishName,affiliation,group,subscriptionCount,videoCount,photo
UC-VWUn_oDeokHEkuTmVrLHg,Kuon ch.桜神くおん,Ookami Kuon,Independents,,27200,348,https://yt3.ggpht.com/-ySKW1YKx_I5sZp8NQayYryrDsdSc2M0Ng_fxGb7WzTWHn98ZS6BH27k3SOy0qzK09VBUkRPKQ=s800-c-k-c0x00ffffff-no-rj
UCvy86WpnHG-h7-tgBVQBJYg,二代目・赤-夕悠夜赤-,Didaime Aka,Independents,,31000,279,https://yt3.ggpht.com/ytc/AMLnZu-FRe_nEEVqquOawGBk4PlsXW_FbrR6R77_zgT3=s800-c-k-c0x00ffffff-no-rj
UCW5O-tjdwofBwfispeMSPfw,Obear Ch. 歐貝爾,Obear,SquareLive,,37100,242,https://yt3.ggpht.com/MjzcP5VdUj5vvXIs3TWxT3y288QKZyZWXSTisNahVYh9SOtYfR4oC-cqMo4wTdeHsbwrkY31qA=s800-c-k-c0x00ffffff-no-rj
UCW5YPK9Cwrlu3wVOX8NWDEg,shiduki senaCh.紫槻セナ / プロプロ,Shiduki Sena,ProPro,,11200,113,https://yt3.ggpht.com/VEqH8louIYozoGwQBf1aIhV7hBDkg-qL3TwiZniUERd1_7XacN_9mq58su9JUbE8ca7_hV4tOQ=s800-c-k-c0x00ffffff-no-rj
UCw64ItsCX0Cb4lCjb68oTpw,Eileennoir,Eileennoir,Independents,,30500,25,https://yt3.ggpht.com/ZCNnG0-0svJE9xUzgtEgDSWz4VP7S-viF87-a7rV3ENUc6Mv1mi6dlKBVVpbggfgVXHtRj-xaks=s800-c-k-c0x00ffffff-no-rj
UCw8bMzcXgX4SAQPraOJIVgA,おうまゆうOumaYuu,Ouma Yuu,Independents,,18000,587,https://yt3.ggpht.com/ytc/AMLnZu_n_9a3ChFjs2esFrVQ1-XDJOPvPm7j5p0NqdoZ=s800-c-k-c0x00ffffff-no-rj
UC_WC6plpIdL_buebR9vSVkg,girl_dm_,girl_dm_,Twitch Independents,,189000,204,https://yt3.ggpht.com/2ucArDmoj2qLF3a3LpB6wManJ6jy0grjJU6lkVBRstySsN7-v-ODzk4v5pNBRnmie4f9rnEb=s800-c-k-c0x00ffffff-no-rj
UCWCc8tO-uUl_7SJXIKJACMw,神楽めあ / KaguraMea,Kagura Mea,Independents,,319000,282,https://yt3.ggpht.com/ytc/AMLnZu9E4y7Dv_4y9KSf1lFYwHnMJCxg2p8eXUYku_XLcQ=s800-c-k-c0x00ffffff-no-rj
UC-WHzySBtEqRNxWWYv5bSZQ,中野の部屋,Nakano,Independents,,117000,121,https://yt3.ggpht.com/ytc/AMLnZu976mP6_yZd7KDygobQrr9nJVavR-ZcZ_eTTahm=s800-c-k-c0x00ffffff-no-rj
UCWImOidHDmm0KK20bkF-rSQ,Artemis of the Blue Ch.,Artemis of the Blue,Atelier Live,,233000,158,https://yt3.ggpht.com/ytc/AMLnZu8f1_0Ox86PNQ3-gUgRfKG9zvvu0eFmBfG4nQhDHw=s800-c-k-c0x00ffffff-no-rj
UCWIPfdcux1WxuX5yZLPJDww,稲荷いろはInari Iroha,稲荷いろはInari Iroha,Nori Pro,,46300,195,https://yt3.ggpht.com/umPpFsmPp6qJMofAhLnq86z3ZXAR5UX8j75mWkHIVErzQZ5E0vBgqHM52ILzfggIt2zMxhp4QwY=s800-c-k-c0x00ffffff-no-rj
UCw-jEa3_788VkvM2zHzrDnw,Tenten Ch. / 鳳玲天々,Hourei Tenten,Independents,,98400,776,https://yt3.ggpht.com/ytc/AMLnZu8e4hVvEQRi2L3t7MEfjEFoQZ1yLyjQzz8PV2W8=s800-c-k-c0x00ffffff-no-rj
UCWL_9MaaMy8ObTDPmVHemjA,GreatMoonAroma 대월향,GreatMoonAroma,Independents,,869000,301,https://yt3.ggpht.com/Yi0ssvSxxEjWjzhL1Sqxi_lmvNg3nDWzOxRYjunyL08kpZVkce8kkHjhNyujF95bKqYXSMDtuQ=s800-c-k-c0x00ffffff-no-rj
UCWmJy4zKFf9Y_UQdS5sWuUg,如月こより / KisaragiKoyori,Kisaragi Koyori,Independents,,21000,160,https://yt3.ggpht.com/ytc/AMLnZu_AlgKmsKEGyKi0cUBuWzNu8sUuCcU2o_CiUKdr=s800-c-k-c0x00ffffff-no-rj
UCWNVjAzZmYUni8YBXYiy01w,dtto.,dtto.,Twitch Independents,,49100,29,https://yt3.ggpht.com/fO5dSSlkNLIfG4fyOVdcCbL_ztiAVba-DUank7RtnT2lIBTCPujhAlEFeMyKATrDDZme1henbQ=s800-c-k-c0x00ffffff-no-rj
UCWOKF8h6kFj2pRn3rCD6nyw,Pepero ch. / 猫田ぺぺろ,Pepero Nekoda NEW,Masquerade,,10300,86,https://yt3.ggpht.com/YZHvi9S0WLdnrAbIA87s-n8Nu3Pa1BL8fs4ls38JLVDWubytGJvcv8nLF_1jIg4iTB-7M_5R5w=s800-c-k-c0x00ffffff-no-rj
UCWq6L3iY4hGK4LmylvQtj-g,桜樹みりあ,Sakuragi Miria,Independents,,50600,565,https://yt3.ggpht.com/HF6U5QETVzVSdG4Jr9wKg4eJqH-clzOjozozpNe0xR059QBJx0vtOlBGu5pFoVJg3S24oFXgMp0=s800-c-k-c0x00ffffff-no-rj
UCWQGiZK_rAMpnl4awiUrqqg,ラティオ・ユィリス【Project:YuiRes】,Ratio Yuires,Independents,,41800,350,https://yt3.ggpht.com/U7_W3Hjl4qGpWUBeY_jhbj5-uKXALQPODOaFY46TnV3gfwtmuA6kUQgP9NmPZPBlmcR4uIDLDA=s800-c-k-c0x00ffffff-no-rj
